"","x"
"818",81.1
"819",61
"820",63
"821",38.8
"822",43.3
"823",41.4
"824",40.3
"825",24.9
"826",39
"827",31.2
"828",40.6
"829",37.7
"830",47.8
"831",37.3
"832",36.3
"833",53.4
"834",61.4
"835",49.2
"836",58.4
"837",74.8
"838",60.6
"839",64.9
"840",50
"841",37.6
"842",33.5
"843",52
"844",37.6
"845",56.2
"846",75
"847",51.2
"848",46.7
"849",42.8
"850",33.3
"851",36.4
"852",33.9
"853",31.4
"854",34.2
"855",26.2
"856",30.3
"857",34.9
"858",26.9
"859",30.5
"860",30.6
"861",21.3
"862",38
"863",49.1
"864",48.9
"865",40.8
"866",29.7
"867",19.8
"868",20.3
"869",30
"870",20.7
"871",22.5
"872",19.8
"873",19.8
"874",22.8
"875",22.9
"876",24.2
"877",18.5
"878",14.3
"879",20.9
"880",27.1
"881",34.8
"882",32.5
"883",21.8
"884",20
"885",24.1
"886",27.5
"887",23.7
"888",28.3
"889",24
"890",23.3
"891",29.7
"892",31
"893",33.7
"894",22.3
"895",25.3
"896",16.9
"897",20.9
"898",22.4
"899",23
"900",21.3
"901",14.9
"902",14.8
"903",25.2
"904",19.7
"905",21.4
"906",26.2
"907",21.7
"908",22.8
"909",24.1
"910",26.8
"911",24.4
"912",29
"913",27
"914",18.7
"915",19.8
"916",23.2
"917",40.4
"918",31.8
"919",25.2
"920",24.7
"921",28.5
"922",31.9
"923",36.6
"924",32.9
"925",24.8
"926",34.4
"927",29.7
"928",31.4
"929",26.4
"930",23
"931",21.7
"932",24.1
"933",27.8
"934",27.8
"935",32.7
"936",25.9
"937",15.6
"938",20.4
"939",23.6
"940",21.4
"941",25
"942",19.3
"943",31.8
"944",39.7
"945",34.4
"946",29.3
"947",25.1
"948",25.5
"949",22.7
"950",22.5
"951",26.7
"952",22
"953",22.5
"954",34.2
"955",32.8
"956",19.3
"957",24.5
"958",28.5
"959",33.2
"960",31.9
"961",42
"962",34
"963",22.4
"964",31.1
"965",36.4
"966",43.9
"967",44.2
"968",51.7
"969",52.5
"970",29.1
"971",28.4
"972",58.4
"973",41.8
"974",42
"975",43.2
"976",31.7
"977",31.2
"978",28.3
"979",35.9
"980",37.4
"981",42.8
"982",34
"983",56.7
"984",38.4
"985",45.5
"986",46.5
"987",28.4
"988",28.8
"989",26.9
"990",42.1
"991",47.6
"992",49.9
"993",49.2
"994",29.5
"995",36.4
"996",40.8
"997",28.9
"998",29.3
"999",28.2
"1000",36.6
"1001",41.5
"1002",29
"1003",24.3
"1004",31.6
"1005",32.7
"1006",43.2
"1007",36
"1008",31
"1009",36.6
"1010",51.1
"1011",38.6
"1012",34.5
"1013",39.9
"1014",39.4
"1015",40.5
"1016",46
"1017",36.9
"1018",35.7
"1019",31.6
"1020",32.9
"1021",33.5
"1022",33.6
"1023",40.9
"1024",48.9
"1025",35.4
"1026",34.8
"1027",32.5
"1028",31.4
"1029",76.1
"1030",67
"1031",55.8
"1032",55.4
"1033",75.5
"1034",46.2
"1035",39.1
"1036",41.3
"1037",48.5
"1038",49.7
"1039",45.5
"1040",44.9
"1041",43.9
"1042",46
"1043",45.1
"1044",48.4
"1045",53.9
"1046",33.5
"1047",39.9
"1048",47.3
"1049",36.8
"1050",51.9
"1051",47.1
"1052",38.3
"1053",51.6
