"","x"
"387",26.9083333333333
"388",27.625
"389",34.1583333333333
"390",38.4708333333333
"391",38.7625
"392",27.5
"393",37.8791666666667
"394",39.6521739130435
"395",53.5833333333333
"396",53.9166666666667
"397",40.0416666666667
"398",46.2083333333333
"399",23.1739130434783
"400",48.5833333333333
"401",46.7916666666667
"402",54.2
"403",52.1347826086957
"404",47.9541666666667
"405",46.6260869565217
"406",39.175
"407",46.7458333333333
"408",53.6708333333333
"409",46.9608695652174
"410",63.1208333333333
"411",67.55
"412",41.275
"413",33.5166666666667
"414",43.6666666666667
"415",41.9875
"416",49.9782608695652
"417",47.055
"418",52.7416666666667
"419",53.0739130434783
"420",37.5
"421",51.0086956521739
"422",63.8375
"423",58.1375
"424",52.6416666666667
"425",54.6708333333333
"426",51.1875
"427",37.3041666666667
"428",64.7041666666667
"429",55.5958333333333
"430",57.15
"431",74.5375
"432",68.6916666666667
"433",39.7708333333333
"434",29.0458333333333
"435",46.895652173913
"436",50.2875
"437",52.5125
"438",51.2583333333333
"439",54.8458333333333
"440",46.9208333333333
"441",40.3217391304348
"442",51.2391304347826
"443",47.7625
"444",47.2083333333333
"445",57.8416666666667
"446",40.9538461538462
"447",44.2125
"448",48.6583333333333
"449",42.7083333333333
"450",63.7041666666667
"451",62.375
"452",78.5125
"453",59.6136363636364
"454",47.7130434782609
"455",37.9304347826087
"456",38.5875
"457",47.8625
"458",53.3458333333333
"459",31.3291666666667
"460",45.8260869565217
"461",36.7826086956522
"462",36.9434782608696
"463",54.9166666666667
"464",47.0833333333333
"465",46.9583333333333
"466",60.125
"467",52.0833333333333
"468",50.2083333333333
"469",34.875
"470",37.9708333333333
"471",44.9047619047619
"472",42.4208333333333
"473",26.2217391304348
"474",18.9173913043478
"475",21.82
"476",18.5833333333333
"477",37.3809523809524
"478",47.5260869565217
"479",35.1083333333333
"480",39.8291666666667
"481",34.4041666666667
"482",28.9666666666667
"483",20.45
"484",28.75
"485",38.4565217391304
"486",33.1434782608696
"487",44.0217391304348
"488",40.3208333333333
"489",32.2125
"490",20.15
"491",31.1086956521739
"492",36.2708333333333
"493",40.975
"494",41.775
"495",35.1666666666667
"496",36.1708333333333
"497",23.6083333333333
"498",34.0375
"499",26.6916666666667
"500",33.6041666666667
"501",39.1791666666667
"502",35.025
"503",39.0125
"504",23.4958333333333
"505",29.525
"506",37.3375
"507",30.5125
"508",39.25
"509",34.9416666666667
"510",35.2083333333333
"511",21.1695652173913
"512",41.3625
"513",34.1666666666667
"514",35.9541666666667
"515",37.8583333333333
"516",47.0666666666667
"517",30.4826086956522
"518",30.05
"519",22.2260869565217
"520",31.1666666666667
"521",40.9916666666667
"522",42.575
"523",42.9473684210526
"524",39
"525",16.5375
"526",28.5541666666667
"527",31.4416666666667
